"","Municipality_Code","Municipality_Name","Type_of_Municipality_Code","Region_Code","Count"
"1","0180","Stockholm",1,1,7296
"2","0127","Botkyrka",2,1,2246
"3","0162","Danderyd",2,1,142
"4","0125","Ekerö",2,1,163
"5","0136","Haninge",2,1,1164
"6","0126","Huddinge",2,1,1135
"7","0123","Järfälla",2,1,904
"8","0186","Lidingö",2,1,112
"9","0182","Nacka",2,1,576
"10","0192","Nynäshamn",2,1,427
"11","0128","Salem",2,1,214
"12","0191","Sigtuna",2,1,599
"13","0163","Sollentuna",2,1,533
"14","0184","Solna",2,1,465
"15","0183","Sundbyberg",2,1,287
"16","0138","Tyresö",2,1,350
"17","0160","Täby",2,1,401
"18","0139","Upplands-Bro",2,1,427
"19","0114","Upplands Väsby",2,1,440
"20","0115","Vallentuna",2,1,248
"21","0187","Vaxholm",2,1,45
"22","0120","Värmdö",2,1,274
"23","0117","Österåker",2,1,445
"24","0181","Södertälje",3,1,2623
"25","0140","Nykvarn",4,1,189
"26","0188","Norrtälje",6,1,621
"27","0305","Håbo",2,3,227
"28","0380","Uppsala",3,3,2186
"29","0331","Heby",4,3,69
"30","0330","Knivsta",4,3,144
"31","0360","Tierp",4,3,216
"32","0319","Älvkarleby",4,3,142
"33","0381","Enköping",5,3,467
"34","0382","Östhammar",5,3,144
"35","0484","Eskilstuna",3,4,1245
"36","0461","Gnesta",4,4,72
"37","0486","Strängnäs",4,4,415
"38","0488","Trosa",4,4,115
"39","0482","Flen",5,4,186
"40","0483","Katrineholm",6,4,314
"41","0480","Nyköping",6,4,606
"42","0481","Oxelösund",7,4,80
"43","0428","Vingåker",7,4,56
"44","0580","Linköping",3,5,963
"45","0581","Norrköping",3,5,1236
"46","0586","Mjölby",4,5,277
"47","0582","Söderköping",4,5,97
"48","0561","Åtvidaberg",4,5,90
"49","0562","Finspång",5,5,178
"50","0513","Kinda",5,5,55
"51","0583","Motala",5,5,366
"52","0563","Valdemarsvik",5,5,65
"53","0560","Boxholm",7,5,43
"54","0584","Vadstena",7,5,39
"55","0512","Ydre",7,5,17
"56","0509","Ödeshög",7,5,104
"57","0680","Jönköping",3,6,1242
"58","0604","Aneby",4,6,45
"59","0643","Habo",4,6,69
"60","0642","Mullsjö",4,6,47
"61","0682","Nässjö",5,6,280
"62","0687","Tranås",5,6,150
"63","0665","Vaggeryd",5,6,166
"64","0683","Värnamo",6,6,299
"65","0686","Eksjö",7,6,138
"66","0617","Gnosjö",7,6,71
"67","0684","Sävsjö",7,6,140
"68","0662","Gislaved",8,6,248
"69","0685","Vetlanda",8,6,217
"70","0780","Växjö",3,7,607
"71","0764","Alvesta",4,7,171
"72","0761","Lessebo",4,7,65
"73","0763","Tingsryd",5,7,102
"74","0760","Uppvidinge",5,7,96
"75","0781","Ljungby",6,7,217
"76","0767","Markaryd",7,7,117
"77","0765","Älmhult",7,7,118
"78","0880","Kalmar",6,8,368
"79","0882","Oskarshamn",6,8,162
"80","0883","Västervik",6,8,239
"81","0862","Emmaboda",7,8,90
"82","0860","Hultsfred",7,8,144
"83","0821","Högsby",7,8,63
"84","0861","Mönsterås",7,8,85
"85","0840","Mörbylånga",7,8,87
"86","0881","Nybro",7,8,161
"87","0834","Torsås",7,8,62
"88","0884","Vimmerby",8,8,106
"89","0885","Borgholm",9,8,58
"90","0980","Gotland",6,9,523
"91","1082","Karlshamn",6,10,224
"92","1080","Karlskrona",6,10,357
"93","1060","Olofström",7,10,101
"94","1081","Ronneby",7,10,228
"95","1083","Sölvesborg",7,10,124
"96","1280","Malmö",1,12,3382
"97","1231","Burlöv",2,12,256
"98","1261","Kävlinge",2,12,273
"99","1262","Lomma",2,12,127
"100","1264","Skurup",2,12,115
"101","1230","Staffanstorp",2,12,144
"102","1263","Svedala",2,12,210
"103","1287","Trelleborg",2,12,250
"104","1233","Vellinge",2,12,139
"105","1283","Helsingborg",3,12,1809
"106","1281","Lund",3,12,683
"107","1260","Bjuv",4,12,192
"108","1285","Eslöv",4,12,264
"109","1284","Höganäs",4,12,123
"110","1266","Hörby",4,12,156
"111","1267","Höör",4,12,154
"112","1276","Klippan",4,12,250
"113","1282","Landskrona",4,12,614
"114","1275","Perstorp",4,12,77
"115","1265","Sjöbo",4,12,214
"116","1214","Svalöv",4,12,138
"117","1277","Åstorp",4,12,230
"118","1292","Ängelholm",4,12,337
"119","1257","Örkelljunga",4,12,179
"120","1293","Hässleholm",6,12,522
"121","1290","Kristianstad",6,12,671
"122","1286","Ystad",6,12,143
"123","1272","Bromölla",7,12,108
"124","1273","Osby",7,12,116
"125","1291","Simrishamn",7,12,132
"126","1270","Tomelilla",7,12,143
"127","1256","Östra Göinge",7,12,115
"128","1278","Båstad",9,12,184
"129","1384","Kungsbacka",2,13,447
"130","1380","Halmstad",3,13,1019
"131","1381","Laholm",4,13,236
"132","1315","Hylte",5,13,92
"133","1382","Falkenberg",6,13,526
"134","1383","Varberg",6,13,519
"135","1480","Göteborg",1,14,5863
"136","1440","Ale",2,14,348
"137","1489","Alingsås",2,14,251
"138","1443","Bollebygd",2,14,111
"139","1401","Härryda",2,14,455
"140","1482","Kungälv",2,14,378
"141","1441","Lerum",2,14,352
"142","1462","Lilla Edet",2,14,189
"143","1481","Mölndal",2,14,594
"144","1402","Partille",2,14,319
"145","1415","Stenungsund",2,14,229
"146","1407","Öckerö",2,14,55
"147","1490","Borås",3,14,1066
"148","1488","Trollhättan",3,14,672
"149","1439","Färgelanda",4,14,95
"150","1444","Grästorp",4,14,59
"151","1463","Mark",4,14,291
"152","1465","Svenljunga",4,14,112
"153","1487","Vänersborg",4,14,372
"154","1466","Herrljunga",5,14,79
"155","1484","Lysekil",5,14,130
"156","1452","Tranemo",5,14,99
"157","1485","Uddevalla",5,14,580
"158","1491","Ulricehamn",5,14,179
"159","1499","Falköping",6,14,273
"160","1494","Lidköping",6,14,286
"161","1493","Mariestad",6,14,223
"162","1496","Skövde",6,14,305
"163","1445","Essunga",7,14,64
"164","1447","Gullspång",7,14,73
"165","1471","Götene",7,14,121
"166","1497","Hjo",7,14,48
"167","1446","Karlsborg",7,14,62
"168","1461","Mellerud",7,14,94
"169","1430","Munkedal",7,14,158
"170","1421","Orust",7,14,122
"171","1495","Skara",7,14,224
"172","1472","Tibro",7,14,72
"173","1498","Tidaholm",7,14,108
"174","1419","Tjörn",7,14,101
"175","1473","Töreboda",7,14,93
"176","1470","Vara",7,14,163
"177","1442","Vårgårda",7,14,111
"178","1460","Bengtsfors",8,14,72
"179","1438","Dals-Ed",8,14,63
"180","1492","Åmål",8,14,87
"181","1427","Sotenäs",9,14,54
"182","1486","Strömstad",9,14,175
"183","1435","Tanum",9,14,126
"184","1780","Karlstad",3,17,722
"185","1763","Forshaga",4,17,106
"186","1764","Grums",4,17,147
"187","1761","Hammarö",4,17,52
"188","1715","Kil",4,17,126
"189","1781","Kristinehamn",5,17,336
"190","1762","Munkfors",5,17,44
"191","1785","Säffle",5,17,169
"192","1760","Storfors",7,17,48
"193","1784","Arvika",8,17,256
"194","1782","Filipstad",8,17,194
"195","1783","Hagfors",8,17,132
"196","1766","Sunne",8,17,134
"197","1737","Torsby",8,17,175
"198","1765","Årjäng",8,17,125
"199","1730","Eda",9,17,112
"200","1880","Örebro",3,18,1450
"201","1861","Hallsberg",4,18,159
"202","1881","Kumla",4,18,214
"203","1814","Lekeberg",4,18,105
"204","1884","Nora",4,18,91
"205","1882","Askersund",5,18,110
"206","1860","Laxå",5,18,112
"207","1885","Lindesberg",5,18,239
"208","1883","Karlskoga",6,18,336
"209","1862","Degerfors",7,18,144
"210","1864","Ljusnarsberg",7,18,69
"211","1863","Hällefors",8,18,85
"212","1980","Västerås",3,19,1739
"213","1961","Hallstahammar",4,19,174
"214","1917","Heby",4,19,54
"215","1907","Surahammar",4,19,88
"216","1983","Köping",5,19,238
"217","1981","Sala",5,19,223
"218","1984","Arboga",7,19,168
"219","1982","Fagersta",7,19,156
"220","1960","Kungsör",7,19,81
"221","1962","Norberg",7,19,84
"222","1904","Skinnskatteberg",7,19,49
"223","2081","Borlänge",3,20,662
"224","2026","Gagnef",4,20,80
"225","2082","Säter",4,20,164
"226","2084","Avesta",6,20,204
"227","2080","Falun",6,20,446
"228","2083","Hedemora",7,20,172
"229","2061","Smedjebacken",7,20,124
"230","2085","Ludvika",8,20,267
"231","2062","Mora",8,20,198
"232","2021","Vansbro",8,20,75
"233","2029","Leksand",9,20,115
"234","2023","Malung",9,20,48
"235","2023","Malung-Sälen",9,20,77
"236","2034","Orsa",9,20,79
"237","2031","Rättvik",9,20,120
"238","2039","Älvdalen",9,20,116
"239","2180","Gävle",3,21,1046
"240","2104","Hofors",5,21,89
"241","2101","Ockelbo",5,21,68
"242","2181","Sandviken",5,21,373
"243","2184","Hudiksvall",6,21,417
"244","2132","Nordanstig",7,21,103
"245","2183","Bollnäs",8,21,240
"246","2161","Ljusdal",8,21,251
"247","2121","Ovanåker",8,21,79
"248","2182","Söderhamn",8,21,375
"249","2281","Sundsvall",3,22,1257
"250","2262","Timrå",4,22,382
"251","2280","Härnösand",6,22,362
"252","2284","Örnsköldsvik",6,22,514
"253","2282","Kramfors",8,22,309
"254","2283","Sollefteå",8,22,319
"255","2260","Ånge",8,22,118
"256","2380","Östersund",3,23,425
"257","2309","Krokom",4,23,116
"258","2326","Berg",5,23,98
"259","2305","Bräcke",5,23,81
"260","2303","Ragunda",8,23,84
"261","2313","Strömsund",8,23,125
"262","2361","Härjedalen",9,23,141
"263","2321","Åre",9,23,101
"264","2480","Umeå",3,24,748
"265","2403","Bjurholm",4,24,21
"266","2401","Nordmaling",4,24,93
"267","2460","Vännäs",4,24,86
"268","2409","Robertsfors",5,24,67
"269","2404","Vindeln",5,24,55
"270","2482","Skellefteå",6,24,579
"271","2425","Dorotea",8,24,28
"272","2481","Lycksele",8,24,76
"273","2418","Malå",8,24,9
"274","2417","Norsjö",8,24,35
"275","2422","Sorsele",8,24,26
"276","2462","Vilhelmina",8,24,79
"277","2463","Åsele",8,24,42
"278","2421","Storuman",9,24,54
"279","2580","Luleå",3,25,786
"280","2582","Boden",5,25,312
"281","2560","Älvsbyn",5,25,107
"282","2584","Kiruna",6,25,200
"283","2581","Piteå",6,25,355
"284","2505","Arvidsjaur",8,25,75
"285","2523","Gällivare",8,25,243
"286","2583","Haparanda",8,25,144
"287","2510","Jokkmokk",8,25,73
"288","2514","Kalix",8,25,251
"289","2521","Pajala",8,25,43
"290","2513","Överkalix",8,25,74
"291","2518","Övertorneå",8,25,43
"292","2506","Arjeplog",9,25,50
